"Latitude_WGS84";"Name";"AdmArea";"District";"Location";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"55.772552394";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67871932";"276298129";"01010000001C485146E0D64240985631FFE2E24B40";"";
"55.770899371";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 42";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.6787593";"276298130";"01010000008DADB195E1D64240DA79A1D4ACE24B40";"";
"55.770882262";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 42";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.678839586";"276298133";"0101000000D38C2E37E4D64240A22D1C45ACE24B40";"";
"55.769931959";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 48/13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67904708";"276298134";"0101000000AB85C403EBD642406D0664218DE24B40";"";
"55.769922805";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 48/13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679031449";"276298135";"01010000008B34A580EAD64240B5F599D48CE24B40";"";
"55.768838443";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 56/17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679307228";"276298136";"010100000024190C8AF3D64240D94B504C69E24B40";"";
"55.76882946";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 56/17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679307532";"276298137";"0101000000E9EE988CF3D642405F73F50069E24B40";"";
"55.736601047";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 1, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634557171";"276298138";"010100000092715C2B39D142403D886FF148DE4B40";"";
"55.736592241";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 1, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634573405";"276298139";"010100000074B18AB339D142408ACA90A748DE4B40";"";
"55.734739386";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636039641";"276298140";"0101000000FD8638BF69D1424000FAB0F00BDE4B40";"";
"55.734756998";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636007173";"276298141";"01010000003907DCAE68D1424065756E840CDE4B40";"";
"55.734806507";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.63641954";"276298142";"0101000000ED6A0B3276D14240FC39BE230EDE4B40";"";
"55.734184574";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 19, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636250107";"276298144";"01010000001DD2BCA470D14240624797C2F9DD4B40";"";
"55.732203643";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 29";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.637513598";"276298145";"01010000002815AB0B9AD14240395956D9B8DD4B40";"";
"55.731829031";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 31/12, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.638577728";"276298146";"010100000064DB3CEABCD142404534DD92ACDD4B40";"";
"55.731819872";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 31/12, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.638562121";"276298148";"010100000067145167BCD14240C6660846ACDD4B40";"";
"55.778899615";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 20, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.557484154";"276298149";"0101000000EFBB08A45BC7424060A58AFBB2E34B40";"";
"55.778839709";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55927219";"276298150";"010100000060CE2A3B96C74240977D0305B1E34B40";"";
"55.778867029";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559303071";"276298151";"0101000000AA3F373E97C742406CBE30EAB1E34B40";"";
"55.779317813";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.560195304";"276298152";"0101000000C106CF7AB4C742403B03A4AFC0E34B40";"";
"55.779027574";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559966833";"276298153";"0101000000334A41FEACC742409081F02CB7E34B40";"";
"55.778691863";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559692209";"276298154";"010100000091BD8AFEA3C74240879FCA2CACE34B40";"";
"55.778347356";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559433859";"276298156";"01010000000D5758879BC742405A79DBE2A0E34B40";"";
"55.777877281";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559196091";"276298157";"0101000000B172CDBC93C742402419957B91E34B40";"";
"55.779294503";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.565888533";"276298158";"01010000004D3513096FC84240362B1AECBFE34B40";"";
"55.748995827";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Берниковская набережная, дом 12, строение 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.648622762";"276298160";"0101000000981D171206D342401AE76218DFDF4B40";"";
"55.741110045";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневская набережная, дом 8, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.60873763";"276298161";"0101000000E7585A1DEBCD42408C01A7B1DCDE4B40";"";
"55.741101062";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневская набережная, дом 8, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.608737949";"276298162";"010100000002650720EBCD424012294C66DCDE4B40";"";
"55.7407729";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневский переулок, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.610708915";"276298163";"01010000007BA6B0B52BCE4240ADA179A5D1DE4B40";"";
"55.74077272";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневский переулок, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.610692992";"276298164";"0101000000A8441E302BCE4240A115F7A3D1DE4B40";"";
"55.764958107";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Бобров переулок, дом 8, строение 10";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635048502";"276298165";"01010000005DBBF14449D142400230B225EAE14B40";"";
"55.763378102";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 16/6, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598461369";"276298166";"01010000001FE3D3619ACC42404949A75FB6E14B40";"";
"55.76337792";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 16/6, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598445437";"276298168";"01010000007F2D2EDC99CC4240BB71205EB6E14B40";"";
"55.762132616";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.600354848";"276298169";"0101000000D9137B6DD8CC4240AC77C28F8DE14B40";"";
"55.762141962";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.600386389";"276298170";"0101000000F9DB1076D9CC424082D928DE8DE14B40";"";
"55.762584463";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59899986";"276298171";"010100000019810407ACCC4240E982205E9CE14B40";"";
"55.762628831";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598950454";"276298173";"01010000005BED9168AACC4240DC1050D29DE14B40";"";
"55.762361083";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 8/15, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599900399";"276298174";"0101000000FB474989C9CC4240349D470C95E14B40";"";
"55.756165311";"Городской Wi-Fi";"Центральный административный округ";"Тверской район";"город Москва, Богоявленский переулок, дом 2, строение 4";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.62338815";"276298175";"0101000000627BD22ECBCF4240AD8E6006CAE04B40";"";
"55.745141304";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная улица, дом 18, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.618774048";"276298176";"010100000003E3EDFC33CF424016CA4DCA60DF4B40";"";
"55.743324911";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 5/16";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.615476946";"276298177";"01010000008841D5F2C7CE424008864B4525DF4B40";"";
"55.739825372";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная набережная, дом 3, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.60956385";"276298178";"01010000007449303006CE4240DABE0899B2DE4B40";"";
"55.739807767";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная набережная, дом 3, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.609596334";"276298180";"01010000005025AF4007CE4240C04B5A05B2DE4B40";"";
"55.744585907";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 5/16";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.614938437";"276298181";"0101000000F3FB7D4DB6CE424052D04B974EDF4B40";"";
"55.746452779";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная улица, дом 10";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.618727711";"276298182";"0101000000DDEF397832CF42401BE8C0C38BDF4B40";"";
"55.744822156";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 2, строение 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.613575947";"276298183";"010100000016FD18A889CE424098AD185556DF4B40";"";
"55.754811312";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, Борисоглебский переулок, дом 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.590354973";"276298185";"0101000000710873C090CB42406ED835A89DE04B40";"";
"55.725300712";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.563250745";"276298186";"01010000007F9CB49918C842401BE75AA7D6DC4B40";"";
"55.725073867";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.5638323";"276298187";"0101000000D87624A82BC8424081F97038CFDC4B40";"";
"55.725073681";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.563816384";"276298188";"01010000004F1DA1222BC84240EC8AE136CFDC4B40";"";
"55.725760767";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561864456";"276298189";"010100000005A7AB2CEBC74240107E93BAE5DC4B40";"";
"55.725742988";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561881032";"276298190";"01010000006457B8B7EBC7424073616F25E5DC4B40";"";
"55.726257077";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561272969";"276298191";"0101000000EEFDEACAD7C742400E1AEDFDF5DC4B40";"";
"55.726245112";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561018635";"276298193";"0101000000C3E26875CFC74240BE758E99F5DC4B40";"";
"55.758336202";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558020287";"276298194";"0101000000B39571356DC742403F7B212911E14B40";"";
"55.758318237";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55802095";"276298195";"0101000000CE5D013B6DC742400CF06D9210E14B40";"";
"55.763119337";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558991311";"276298196";"010100000020BFFB068DC742401BAEF9E4ADE14B40";"";
"55.76311915";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55897538";"276298197";"0101000000412F58818CC74240C51968E3ADE14B40";"";
"55.76242655";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559686266";"276298199";"0101000000C43EB0CCA3C7424012ED743197E14B40";"";
"55.761628437";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559062239";"276298200";"01010000007E77F8598FC742402E4F660A7DE14B40";"";
"55.760930249";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558530175";"276298201";"010100000022BAB1EA7DC74240FEFE922966E14B40";"";
"55.763024594";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.560875534";"276298202";"010100000009D4FDC4CAC7424008A336CAAAE14B40";"";
"55.735676906";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 11";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.671571928";"276298203";"0101000000F9D5A511F6D54240A3D82DA92ADE4B40";"";
"55.737422484";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67261164";"276298205";"0101000000BE5A622318D64240BB0E26DC63DE4B40";"";
"55.737377397";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.672597243";"276298206";"01010000004A089DAA17D642405A76EE6162DE4B40";"";
"55.736625621";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.672049376";"276298207";"0101000000CD9BC5B605D642409CCB93BF49DE4B40";"";
"55.720979707";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Академика Петровского, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.603896982";"276298208";"0101000000EBEB0D7F4CCD42408452231049DC4B40";"";
"55.720988509";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Академика Петровского, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.603880747";"276298209";"01010000004786DDF64BCD42403179F95949DC4B40";"";
"55.769506174";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, проспект Академика Сахарова, дом 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.643258502";"276298210";"0101000000637B6A4B56D2424036B3A52D7FE24B40";"";
"55.771767503";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634045324";"276298211";"01010000008061AD6528D1424013C00C47C9E24B40";"";
"55.771004801";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636574806";"276298213";"0101000000209D82487BD142404FAD0A49B0E24B40";"";
"55.771022943";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636590114";"276298215";"0101000000204BECC87BD1424049533AE1B0E24B40";"";
"55.771686569";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 6";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635658269";"276298216";"0101000000BB640A405DD14240094F20A0C6E24B40";"";
"55.77125695";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 7";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635003732";"276298217";"010100000094E362CD47D142400788388CB8E24B40";"";
"55.771274207";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 7";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634939362";"276298218";"0101000000D65D69B145D142401BA8FB1CB9E24B40";"";
"55.74170953";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Малая Андроньевская улица, дом 24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.673501516";"276298219";"01010000006283344C35D64240A33D7F56F0DE4B40";"";
"55.741619873";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Малая Андроньевская улица, дом 24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.673520487";"276298220";"0101000000ED6C58EB35D64240A14C6666EDDE4B40";"";
"55.750716436";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 12, строение 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.595314509";"276298221";"0101000000A17E0D4433CC42404798E67917E04B40";"";
"55.749688975";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 26";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.591909937";"276298222";"0101000000D4CB6EB4C3CB4240FCE5EECEF5DF4B40";"";
"55.749680578";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 26";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.591177328";"276298223";"0101000000C6F2DCB2ABCB42406B7A7E88F5DF4B40";"";
"55.74984565";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 31";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59303553";"276298224";"0101000000A75B9796E8CB424020E637F1FADF4B40";"";
"55.749817243";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 31";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59290909";"276298227";"01010000008B86EF71E4CB4240B954EC02FADF4B40";"";
"55.749218265";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 37/2, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59082754";"276298228";"010100000025F0A03CA0CB4240D5DE5462E6DF4B40";"";
"55.749060331";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 38/1, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.588029094";"276298229";"0101000000CBE98F8944CB42401F307C35E1DF4B40";"";
"55.749069313";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 38/1, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58802877";"276298230";"0101000000E920D88644CB4240D7E2D480E1DF4B40";"";
"55.752108738";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599200126";"276298231";"0101000000EC76F896B2CC4240775F601945E04B40";"";
"55.752099574";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599184521";"276298232";"010100000072FB1014B2CC424030D580CC44E04B40";"";
"55.748513125";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 40";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58811259";"276298233";"01010000003B35FA4547CB42403A403047CFDF4B40";"";
"55.748649309";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 43";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58901582";"276298234";"010100000002DDD1DE64CB4240FC2995BDD3DF4B40";"";
"55.747956571";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 45/24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.588164557";"276298235";"01010000009C7DE8F948CB4240FCA2790ABDDF4B40";"";
"55.748174363";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 47/23";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.587567197";"276298236";"0101000000A0A8E36635CB42403365722DC4DF4B40";"";
